author,year,heating.notes,heating.temp,heating.irradiance,second.heating,sample.size.description,sample.weight,sample.length.cm,sample.area.cm,sample.volume.cm,epiradiator,wind.tunnel,muffle.furnace,MLC,xylene.lattice,fire.bench,grill,oxygen.bomb.calorimeter,steel.ring.litter.bed,tray,FFB,FPA,cone.calorimeter,bunsen.burner,other,intermediate.scale.calorimeter,duplicate,model,notes
Dewhirst et al ,2020,ramped up to 750 C at a rate of 3 C per minute,,,,0.01-0.015g,0.0125,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Y,other,"FAA (federal aviation administration) microcalorimeter -- for now, 'other', but may make a new column?; measured leaf-level flammability"
Ramadhan et al,2021,35 and 50 kW per m2,,35,50,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,CC,
Ganteaume et al,2021,500 W,,63.66,,6g,6,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Guerrero et al,2021,440 C,440,,,1g,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EPI,
Romero and Ganteaume,2021,500 W,,63.66,,2g,2,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EPI,For litter for P. sylvestris
Guerrero et al,2021,NA,,,,0.5g,0.5,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Y,OB,
Romero and Ganteaume,2021,4 kW radiant panel,,,,20cm,,20,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Y,other,"Radiative panel with wire mesh, shoot sample suspended above mesh"
Romero and Ganteaume,2021,NA,,,,20g,20,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Y,tray,For litter for P. halenpensis
Melnik et al,2022,methane flame with 5.5 kW nominal rating,,,,11g,11,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,CC,"specialized cone calorimeter, takes into account an oncoming frontal flame"
Gowda et al,2022,420 C,420,,,3.5g,3.5,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Cui et al ,2022,"150 C, blowtorch as ignition source",150,,,NA,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,grill,
Potts et al,2022,100-130 C,115,,,70cm,,70,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,grill,
Campos-Ruiz et al,2022,NA,,,,~4g,4,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N,MLC,modified MLC-style cone calorimeter
Gao and Schwilk,2022,NA,,,,full plant,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,other,used a cotton ball soaked in ethylene to ignite bottom of plant
,,,372.1636364,52.03659574,,,,,,,,,,,,,,,,,,,,,,,,,
,,,400,52.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,200.7622293,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
